Year COMF COSat COSun O3MF O3Sat O3Sun NOXMF NOXSat NOXSun PM10MF PM10Sat PM10Sun
1986 8.2 6.2 4.5 72 82 71 151 136 99     NA   NA   NA    
1987 7.3 5.3 3.9 91 82 80 149 116 79     NA   NA   NA
1988 7.8 6.2 4.2 112 106 104 133 108 73  NA   NA   NA
1989 7.5 6.0 4.8 99 95 91 141 117 89     NA   NA   NA
1990 8.7 7.5 6.3 110 115 106 136 116 86  NA   NA   NA
1991 9.3 7.9 6.6 135 145 125 143 118 88  NA   NA   NA
1992 8.4 7.2 5.9 124 118 116 141 121 92 131 125 91
1993 6.2 5.0 3.9 113 121 112 142 122 93 143 144 130
1994 5.5 4.7 3.5 121 117 106 135 115 81 89 92 71
1995 4.5 3.7 2.9 116 119 109 126 101 70 94 82 71
1996 5.1 4.4 3.1 107 107 102 157 138 88 108 106 77
1997 4.6 3.9 3.0 100 99 103 157 126 92 107 107 92
1998 4.7 3.8 2.9 101 108 102 129 103 74 104 104 89
1999 4.3 3.5 2.5 98 98 86 124 104 67 80 72 57
2000 4.5 3.7 2.7 103 109 106 135 113 73 75 78 56
2001 4.0 3.2 2.4 91 98 91 112 95 65 78 76 60
2002 3.5 2.8 2.0 91 93 86 121 98 65 79 68 57
2003 3.2 2.8 2.0 87 87 86 138 120 81 85 82 66
2004 3.1 2.3 1.7 78 77 79 140 107 76 80 68 58
2005 2.9 2.4 1.8 81 85 85 139 116 80 84 86 66
2006 2.7 2.2 1.6 77 79 79 137 112 75 78 70 61
2007 2.4 2.2 1.4 74 81 81 135 121 72 76 74 54
