town          crime biglots industry river nox rooms age distance highway tax ptratio black lowstat value 	  
Nahant        .00632 18.0  2.31 0 .5380 6.575 65.2 4.0900  1 296 15.3 396.90  5.0 24.0
Swampscott    .02731  0.0  7.07 0 .4690 6.421 78.9 4.9671  2 242 17.8 396.90  9.1 21.6
Swampscott    .02729  0.0  7.07 0 .4690 7.185 61.1 4.9671  2 242 17.8 392.83  4.0 34.7
Marblehead    .03237  0.0  2.18 0 .4580 6.998 45.8 6.0622  3 222 18.7 394.63  2.9 33.4
Marblehead    .06905  0.0  2.18 0 .4580 7.147 54.2 6.0622  3 222 18.7 396.90  5.3 36.2
Marblehead    .02985  0.0  2.18 0 .4580 6.430 58.7 6.0622  3 222 18.7 394.12  5.2 28.7
Salem         .08829 12.5  7.87 0 .5240 6.012 66.6 5.5605  5 311 15.2 395.60 12.4 22.9
Salem         .14455 12.5  7.87 0 .5240 6.172 96.1 5.9505  5 311 15.2 396.90 19.2 27.1
Salem         .21124 12.5  7.87 0 .5240 5.631  100 6.0821  5 311 15.2 386.63 29.9 16.5
Salem         .17004 12.5  7.87 0 .5240 6.004 85.9 6.5921  5 311 15.2 386.71 17.1 18.9
Salem         .22489 12.5  7.87 0 .5240 6.377 94.3 6.3467  5 311 15.2 392.52 20.5 15.0
Salem         .11747 12.5  7.87 0 .5240 6.009 82.9 6.2267  5 311 15.2 396.90 13.3 18.9
Salem         .09378 12.5  7.87 0 .5240 5.889 39.0 5.4509  5 311 15.2 390.50 15.7 21.7
Lynn          .62976  0.0  8.14 0 .5380 5.949 61.8 4.7075  4 307 21.0 396.90  8.3 20.4
Lynn          .63796  0.0  8.14 0 .5380 6.096 84.5 4.4619  4 307 21.0 380.02 10.3 18.2
Lynn          .62739  0.0  8.14 0 .5380 5.834 56.5 4.4986  4 307 21.0 395.62  8.5 19.9
Lynn          1.0539  0.0  8.14 0 .5380 5.935 29.3 4.4986  4 307 21.0 386.85  6.6 23.1
Lynn          .78420  0.0  8.14 0 .5380 5.990 81.7 4.2579  4 307 21.0 386.75 14.7 17.5
Lynn          .80271  0.0  8.14 0 .5380 5.456 36.6 3.7965  4 307 21.0 288.99 11.7 20.2
Lynn          .72580  0.0  8.14 0 .5380 5.727 69.5 3.7965  4 307 21.0 390.95 11.3 18.2
Lynn          1.2518  0.0  8.14 0 .5380 5.570 98.1 3.7979  4 307 21.0 376.57 21.0 13.6
Lynn          .85204  0.0  8.14 0 .5380 5.965 89.2 4.0123  4 307 21.0 392.53 13.8 19.6
Lynn          1.2325  0.0  8.14 0 .5380 6.142 91.7 3.9769  4 307 21.0 396.90 18.7 15.2
Lynn          .98843  0.0  8.14 0 .5380 5.813  100 4.0952  4 307 21.0 394.54 19.9 14.5
Lynn          .75026  0.0  8.14 0 .5380 5.924 94.1 4.3996  4 307 21.0 394.33 16.3 15.6
Lynn          .84054  0.0  8.14 0 .5380 5.599 85.7 4.4546  4 307 21.0 303.42 16.5 13.9
Lynn          .67191  0.0  8.14 0 .5380 5.813 90.3 4.6820  4 307 21.0 376.88 14.8 16.6
Lynn          .95577  0.0  8.14 0 .5380 6.047 88.8 4.4534  4 307 21.0 306.38 17.3 14.8
