NO Income Credit  age
1  45   2   34
2  30   2   57
3  45   2   74
4  55   3   50
5  60   2   37
6  13   1   37
7  25   1   21
8  16   1   22
9  83   3   46
10 84   2   30
11 85   3   53
12 95   3   65
13 81   3   53
14 63   3   40
15 82   3   53
16 83   2   41
17 38   2   31
18 37   1   25
19 26   1   80
20 31   2   68
21 37   2   65
22 26   2   20
23 31   2   28
24 17   1   25
25 15   1   20
26 21   2   38
27 16   1   22
28 83   3   46
29 84   2   30
30 85   3   53
31 95   3   45
32 81   3   43
33 63   3   50
34 82   3   43
35 83   2   36
36 10   2   21
37 27   1   25
38 26   1   80
39 33   2   60
40 31   2   63
41 25   2   20
42 31   2   28
43 17   1   23
44 15   1   21
45 23   2   38
