Äê·Ý	Yt	Xt	Ct	Gt
1952	752.68	188.50	468.72	95.46
1953	901.48	243.60	548.64	109.24
1954	948.60	282.75	569.16	96.69
1955	1000.68	268.25	621.00	111.43
1956	1101.12	314.65	662.04	124.43
1957	1159.40	337.85	700.92	120.63
1958	1385.08	549.55	737.64	97.89
1959	1579.76	809.10	692.28	78.38
1960	1567.36	726.45	737.64	103.27
1961	1256.12	282.75	815.40	157.97
1962	1175.52	143.55	843.48	188.49
1963	1298.28	265.35	856.44	176.49
1964	1468.16	381.35	908.28	178.53
1965	1670.28	529.25	966.60	174.43
1966	1903.40	681.50	1046.52	175.38
1967	1770.72	440.80	1108.08	221.84
1968	1747.16	432.10	1101.60	213.46
1969	1905.88	517.65	1153.44	234.79
1970	2326.24	896.10	1236.60	193.54
1971	2489.92	991.80	1290.60	207.52
1972	2544.48	939.60	1364.04	240.84
1973	2792.48	1074.45	1473.12	244.91
1974	2840.84	1074.45	1507.68	258.71
1975	3039.24	1203.50	1566.00	269.74
1976	3005.76	1084.60	1622.16	299.00
1977	3190.52	1206.40	1677.24	306.88
1978	3605.60	1377.90	1759.10	468.60
1979	4074.00	1474.20	2005.40	594.40
1980	4551.30	1590.00	2317.10	644.20
1981	4901.40	1581.00	2604.10	716.30
1982	5489.20	1760.20	2867.90	861.10
1983	6076.30	2005.00	3182.50	888.80
1984	7164.40	2468.60	3674.50	1021.30
1985	8792.10	3386.00	4589.00	817.10
1986	10132.80	3846.00	5175.00	1111.80
1987	11784.70	4322.00	5961.20	1501.50
1988	14704.00	5495.00	7633.10	1575.90
1989	16466.00	6095.00	8523.50	1847.50
1990	18319.50	6444.00	9113.20	2762.30
1991	21280.40	7517.00	10315.90	3447.50
1992	25863.70	9636.00	12459.80	3767.90
1993	34500.70	14998.00	15682.40	3820.30
1994	46690.70	19260.60	20809.80	6620.30
1995	58510.50	23877.00	26944.50	7689.00
1996	68330.40	26867.20	32152.30	9310.90
1997	74894.20	28457.60	34854.60	11582.00
1998	79003.30	29545.90	36921.10	12536.30
1999	82429.70	30496.30	39398.60	12534.80
